id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Chamber of Reflection,Mac DeMarco,lofi,relaxed,0.43,65,0.53,0.41,0.77
2,The Moon,The Microphones,lofi,relaxed,0.4,60,0.61,0.44,0.93
3,I Want Wind to Blow,The Microphones,lofi,focused,0.42,94,0.32,0.84,0.83
4,Freaking Out the Neighborhood,Mac DeMarco,lofi,relaxed,0.39,95,0.1,0.21,0.55
5,"Holland, 1945",Neutral Milk Hotel,lofi,dreamy,0.28,74,0.61,0.68,0.76
6,Random Rules,Silver Jews,lofi,chill,0.26,75,0.23,0.32,0.79
7,Game of Pricks,Guided by Voices,lofi,relaxed,0.33,81,0.72,0.64,0.93
8,My Roots Are Strong And Deep,The Microphones,lofi,relaxed,0.41,84,0.67,0.58,0.81
9,The One That Got Away,Katy Perry,pop,happy,0.65,118,0.48,0.52,0.35
10,Pink Pony Club,Chappell Roan,pop,energetic,0.82,100,0.2,0.4,0.22
11,Locked Out of Heaven,Bruno Mars,pop,romantic,0.79,103,0.93,0.4,0.41
12,Love You Like a Love Song,Selena Gomez & the Scene,pop,uplifting,0.8,117,0.49,0.94,0.57
13,Toxic,Britney Spears,pop,happy,0.66,119,0.17,0.85,0.55
14,no tears left to cry,Ariana Grande,pop,energetic,0.84,135,0.11,0.49,0.52
15,Style,Taylor Swift,pop,romantic,0.88,109,0.19,0.8,0.41
16,Last Friday Night (T.G.I.F.),Katy Perry,pop,happy,0.65,103,0.24,0.48,0.28
17,The Chain - 2004 Remaster,Fleetwood Mac,rock,intense,0.79,152,0.79,0.52,0.21
18,Iris,Goo Goo Dolls,rock,angry,0.68,157,0.42,0.53,0.64
19,Sign of the Times,Harry Styles,rock,moody,0.83,161,0.22,0.31,0.53
20,Everlong,Foo Fighters,rock,moody,0.73,143,0.79,0.56,0.35
21,Still Into You,Paramore,rock,intense,0.68,157,0.42,0.24,0.23
22,"Lover, You Should've Come Over",Jeff Buckley,rock,moody,0.76,136,0.14,0.59,0.68
23,Scar Tissue,Red Hot Chili Peppers,rock,energetic,0.69,155,0.45,0.57,0.7
24,All I Wanted,Paramore,rock,angry,0.74,122,0.63,0.21,0.12
25,Subwoofer Lullaby,C418,ambient,peaceful,0.22,89,0.88,0.59,0.95
26,Mice on Venus,C418,ambient,relaxed,0.4,71,0.95,0.53,0.78
27,Living Mice,C418,ambient,focused,0.3,70,0.77,0.64,0.8
28,Minecraft,C418,ambient,dreamy,0.19,69,0.23,0.68,0.83
29,Haggstrom,C418,ambient,peaceful,0.23,75,0.27,0.68,0.72
30,Key,C418,ambient,dreamy,0.3,87,0.73,0.24,0.66
31,Beginning,C418,ambient,peaceful,0.26,58,0.44,0.75,0.72
32,Danny,C418,ambient,peaceful,0.34,68,0.23,0.21,0.62
33,Like a Tattoo,Sade,jazz,moody,0.59,107,0.51,0.6,0.66
34,Paradise,Sade,jazz,romantic,0.4,93,0.21,0.6,0.83
35,I Fall in Love Too Easily,Chet Baker,jazz,nostalgic,0.31,128,0.89,0.4,0.57
36,Back to Black,Amy Winehouse,jazz,romantic,0.31,98,0.34,0.48,0.76
37,My Way,Frank Sinatra,jazz,moody,0.59,98,0.24,0.56,0.78
38,Take Five,The Dave Brubeck Quartet,jazz,relaxed,0.66,115,0.76,0.31,0.6
39,That's Life,Frank Sinatra,jazz,moody,0.32,124,0.93,0.85,0.56
40,Don't Know Why,Norah Jones,jazz,romantic,0.32,128,0.51,0.55,0.59
41,Blinding Lights,The Weeknd,synthwave,nostalgic,0.83,122,0.81,0.76,0.06
42,Resonance,Home,synthwave,tense,0.58,131,0.55,0.35,0.2
43,I CAN'T STOP ME,TWICE,synthwave,dreamy,0.67,104,0.91,0.69,0.1
44,Apple,Charli xcx,synthwave,nostalgic,0.72,97,0.84,0.64,0.09
45,Roller Mobster,Carpenter Brut,synthwave,nostalgic,0.84,109,0.86,0.23,0.09
46,In Your Eyes,The Weeknd,synthwave,nostalgic,0.65,131,0.72,0.82,0.07
47,Future Club,Perturbator,synthwave,tense,0.72,98,0.94,0.65,0.19
48,Le Perv,Carpenter Brut,synthwave,moody,0.65,131,0.58,0.78,0.06
49,Space Song,Beach House,indie pop,happy,0.6,103,0.47,0.77,0.44
50,Out of My League,Fitz and the Tantrums,indie pop,dreamy,0.68,108,0.29,0.85,0.17
51,Sofia,Clairo,indie pop,uplifting,0.63,135,0.23,0.34,0.37
52,Buzzcut Season,Lorde,indie pop,bittersweet,0.76,131,0.38,0.53,0.65
53,Pumped Up Kicks,Foster the People,indie pop,uplifting,0.7,99,0.26,0.43,0.18
54,Team,Lorde,indie pop,happy,0.68,95,0.22,0.44,0.18
55,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,indie pop,bittersweet,0.56,96,0.85,0.29,0.61
56,Diet Mountain Dew,Lana Del Rey,indie pop,dreamy,0.56,132,0.75,0.71,0.51
57,Flashing Lights,Kanye West,hip-hop,uplifting,0.86,110,0.45,0.25,0.19
58,Heartbeat,Childish Gambino,hip-hop,focused,0.6,115,0.29,0.83,0.17
59,All Falls Down,Kanye West,hip-hop,uplifting,0.61,98,0.58,0.66,0.47
60,Fashion Killa,A$AP Rocky,hip-hop,uplifting,0.78,101,0.21,0.79,0.53
61,I Wonder,Kanye West,hip-hop,energetic,0.6,86,0.28,0.33,0.67
62,Touch the Sky,Kanye West,hip-hop,moody,0.56,91,0.45,0.97,0.58
